연도,월,지역,주택 명,공급 세대 수 ,접수 건수,경쟁률,위도,경도
2018,8,노원구,노원 꿈에그린,60,5877,97.95,37.66138873,127.061417
2018,9,동대문구,장안동 U 포그니 2차,54,547,10.13,37.57112601,127.0646213
2018,10,강서구,신마곡 벽산 블루밍,69,3778,54.75,37.57119225,126.8041
2018,11,서초구,래미안 리더스원,232,9671,41.69,37.49062458,127.0241864
2018,11,송파구,송파 건원여미지,41,498,12.15,37.50002501,127.1445287
2018,11,금천구,독산 오르페움타워,47,310,6.6,37.47285447,126.9001735
2018,12,은평구,힐스테이트 녹번역,194,11455,59.05,37.5996241,126.9341905
2018,12,서초구,디에이치 라클라스,210,5028,23.94,37.50097975,127.0141691
2018,12,강동구,서울 DS 이즈빌 아파트,105,454,4.32,37.53529855,127.1365485
2018,12,은평구,DMC SK VIEW,150,13743,91.62,37.58075793,126.8991264
2019,1,동대문구,e 편한세상 청계 센트럴포레,249,8307,33.36,37.57170002,127.0290904
2019,1,강남구,시티프라디움 더 강남 1블럭,72,332,4.61,37.50718622,127.0388736
2019,1,강남구,시티프라디움 더 강남 2블럭,34,198,5.82,37.50752052,127.0381252
2019,1,강동구,길동 DS 이즈빌(서울),50,237,4.74,37.53823031,127.1381294
2019,1,광진구,자양동 테라팰리스 건대2차(서울),38,682,17.95,37.53828799,127.0767611
2019,2,광진구,e 편한세상 광진 그랜드파크,730,1706,2.34,37.54419802,127.0766459
2019,3,서대문구,홍제역 해링턴 플레이스,263,2930,11.14,37.59003715,126.9485658
2019,3,노원구,태릉 해링턴 플레이스,327,4048,12.38,37.6259317,127.078926
2019,3,구로구,승윤노블리안아파트,59,191,3.24,37.49401978,126.8699237
2019,3,광진구,호반써밋 자양 주상복합,30,329,10.97,37.53929292,127.0700425
2019,3,강서구,화곡 한울 에이치밸리움 B동,40,145,3.63,37.54189556,126.8385031
2019,3,은평구,백련산파크자이,43,1578,36.7,37.59226891,126.9177416
2019,4,강서구,화곡 한울 에이치밸리움 A동,44,139,3.16,37.5416798,126.8381055
2019,4,은평구,은평 서해그랑블,48,393,8.19,37.61679444,126.9043501
2019,4,동대문구,청량리역 해링턴 플레이스,117,3636,31.08,37.57821078,127.0421931
2019,4,동대문구,답십리 엘림 퍼스트,79,194,2.46,37.56904376,127.0568056
2019,4,동대문구,청량리역한양수자인 192 주상복합,1046,4857,4.64,37.57732129,127.0429161
2019,5,서초구,서울 방배그랑자이,256,2092,8.17,37.47524304,127.0004034
2019,5,강남구,디에이치 포레센트,62,996,16.06,37.48989966,127.0732524
2019,6,성북구,롯데캐슬 클라시아,375,12241,32.64,37.60799169,127.0178645
2019,6,동대문구,이문휘경 지웰 에스테이트,8,600,75,37.59471094,127.0640205
2019,6,용산구,시온캐슬 용산,41,492,12,37.53962485,126.9668868
2019,7,서초구,서초그랑자이,174,7418,42.63,37.48892825,127.0218565
2019,7,도봉구,성진 뉴파크 뷰,63,154,2.44,37.66124888,127.0348744
2019,7,강동구,길동 경지 Arium,124,198,1.6,37.53633124,127.1338793
2019,7,노원구,화랑대 디오베이션,37,303,8.19,37.62092174,127.0817185
2019,8,동대문구,청량리역 롯데캐슬 SKY-L65,1195,19754,16.53,37.57982895,127.0447991
2019,7,은평구,e 편한세상 백련산,69,2253,32.65,37.596505,126.9251304
2019,7,광진구,광진구 구의자이엘라,46,892,19.39,37.54532244,127.0890564
2019,8,강서구,등촌 두산위브 주상복합아파트,88,3856,43.82,37.55725443,126.8530577
2019,9,동작구,이수 푸르지오 더 프레티움,89,18134,203.75,37.49182375,126.9797666
2019,9,송파구,송파 시그니처 롯데캐슬,429,23565,54.93,37.49639938,127.1449603
2019,9,강동구,고덕강일 공공주택지구 4단지,122,5814,47.66,37.5659737,127.1580887
2019,9,은평구,녹번역 e 편한세상 캐슬 2차,70,5280,75.43,37.59925965,126.9278597
2019,9,서대문구,서대문 푸르지오 센트럴파크,182,7922,43.53,37.58110501,126.9504952
2019,10,강남구,래미안 라클래시,112,12890,115.09,37.5174649,127.0458282
2019,10,강남구,역삼 센트럴 IPARK,138,8975,65.04,37.50169336,127.0444594
2019,10,성북구,보문 리슈빌 하우트,130,6231,47.93,37.5871949,127.0190892
2019,10,강서구,마곡 센트레빌,27,2770,102.59,37.57268561,126.8155615
2019,11,강동구,힐데스하임 올림픽파크,33,2080,63.03,37.52402206,127.1327291
2019,10,동작구,이수 스위첸 포레힐즈,165,7375,44.7,37.4977511,126.9740761
2019,11,종로구,힐스테이트 창경궁,94,5698,60.62,37.57527176,127.0004596
2019,11,강남구,르엘 대치,31,6575,212.1,37.50072421,127.061787
2019,11,서초구,르엘 신반포 센트럴,135,11084,82.1,37.50875714,127.0002108
2019,11,서대문구,힐스테이트 홍은 포레스트,218,8162,37.44,37.58581628,126.9243398
2019,12,강서구,강서 크라운팰리스,72,639,8.88,37.55167084,126.848917
2019,12,용산구,효창 파크뷰 데시앙,52,9714,186.81,37.54336311,126.9604052
2019,12,강북구,꿈의 숲 한신더휴,73,2787,38.18,37.61954219,127.0320517
2019,12,서대문구,DMC 금호 리첸시아,154,11293,73.33,37.57079153,126.9158981
2019,12,영등포구,더샵 파크프레스티지,187,21367,114.26,37.50771065,126.9143401
