지역,연도,인구수
종로구,2018,163026
종로구,2019,161869
종로구,2020,158996
종로구,2021,153789
종로구,2022,152211
종로구,2023,141060
중구,2018,135633
중구,2019,136488
중구,2020,134635
중구,2021,131787
중구,2022,130785
중구,2023,120963
용산구,2018,245090
용산구,2019,245185
용산구,2020,244645
용산구,2021,237285
용산구,2022,233284
용산구,2023,217756
성동구,2018,316463
성동구,2019,308979
성동구,2020,300505
성동구,2021,292672
성동구,2022,288234
성동구,2023,280240
광진구,2018,371063
광진구,2019,366972
광진구,2020,360109
광진구,2021,352627
광진구,2022,351252
광진구,2023,336801
동대문구,2018,364338
동대문구,2019,363023
동대문구,2020,357014
동대문구,2021,352006
동대문구,2022,353601
동대문구,2023,337574
중랑구,2018,408147
중랑구,2019,402024
중랑구,2020,399562
중랑구,2021,391885
중랑구,2022,390140
중랑구,2023,385003
성북구,2018,447687
성북구,2019,454744
성북구,2020,447056
성북구,2021,440142
성북구,2022,441984
성북구,2023,430100
강북구,2018,322915
강북구,2019,317695
강북구,2020,311569
강북구,2021,302563
강북구,2022,297702
강북구,2023,292762
도봉구,2018,341649
도봉구,2019,335631
도봉구,2020,327361
도봉구,2021,319373
도봉구,2022,313989
도봉구,2023,310509
노원구,2018,548160
노원구,2019,537303
노원구,2020,527032
노원구,2021,514946
노원구,2022,508014
노원구,2023,502515
은평구,2018,487666
은평구,2019,484546
은평구,2020,484043
은평구,2021,477173
은평구,2022,470602
은평구,2023,464871
서대문구,2018,323080
서대문구,2019,323171
서대문구,2020,322952
서대문구,2021,315659
서대문구,2022,319554
서대문구,2023,308437
마포구,2018,386359
마포구,2019,385925
마포구,2020,381858
마포구,2021,378686
마포구,2022,375585
마포구,2023,365570
양천구,2018,468145
양천구,2019,462285
양천구,2020,457781
양천구,2021,450487
양천구,2022,444010
양천구,2023,439219
강서구,2018,603611
강서구,2019,598273
강서구,2020,585901
강서구,2021,579768
강서구,2022,574638
강서구,2023,568287
구로구,2018,438486
구로구,2019,439371
구로구,2020,432488
구로구,2021,421163
구로구,2022,418418
구로구,2023,395183
금천구,2018,254021
금천구,2019,251820
금천구,2020,247835
금천구,2021,244891
금천구,2022,242818
금천구,2023,229307
영등포구,2018,403600
영등포구,2019,400986
영등포구,2020,407367
영등포구,2021,400908
영등포구,2022,398085
영등포구,2023,376614
동작구,2018,409385
동작구,2019,408912
동작구,2020,401572
동작구,2021,394364
동작구,2022,390432
동작구,2023,380201
관악구,2018,520040
관악구,2019,517334
관악구,2020,509803
관악구,2021,499449
관악구,2022,501226
관악구,2023,487815
서초구,2018,438163
서초구,2019,435107
서초구,2020,429025
서초구,2021,416167
서초구,2022,408451
서초구,2023,404831
강남구,2018,547453
강남구,2019,550209
강남구,2020,544055
강남구,2021,537800
강남구,2022,534103
강남구,2023,532798
송파구,2018,673507
송파구,2019,682741
송파구,2020,673926
송파구,2021,663965
송파구,2022,664514
송파구,2023,658006
