지역,인구,면적,인구밀도,지역내총생산
종로구,150453,23.91,6292,35719537
중구,131793,9.96,13232,61342710
용산구,227106,21.87,10386,13294640
성동구,284766,16.82,16930,13999893
광진구,351180,17.06,20582,6554954
동대문구,359873,14.22,25315,7711273
중랑구,387470,18.5,20948,4860242
성북구,438168,24.58,17828,6371894
강북구,292977,23.6,12414,3462961
도봉구,309494,20.65,14987,3490683
노원구,502925,35.44,14191,6728358
은평구,470869,29.71,15849,5112192
서대문구,320629,17.63,18190,9039083
마포구,375162,23.85,15727,21399314
양천구,439252,17.41,25236,7356067
강서구,568826,41.45,13723,18347568
구로구,415651,20.12,20656,14663398
금천구,241105,13.02,18517,17801015
영등포구,397800,24.55,16203,44265877
동작구,389714,16.36,23826,6712864
관악구,497883,29.57,16838,6347562
서초구,412078,46.97,8774,38335706
강남구,550282,39.5,13932,77924019
송파구,660025,33.88,19483,31834324
강동구,463318,24.59,18841,9364063
